,Municipality,split,regularization,RMSE,R2
508,Samsø,Temporal,ridge,2380.9093896213685,-0.961209773103572
117,Silkeborg,80/20,lasso,902.1950053135294,0.948449517693367
19,Silkeborg,80/20,ridge,866.2568218873942,0.95247466010978
215,Silkeborg,8020,elastic,893.1992848385844,0.9494724047607904
313,Silkeborg,Temporal,elastic,1636.5424787303864,0.6567536395159025
411,Silkeborg,Temporal,lasso,1495.708708416773,0.7132882969060659
509,Silkeborg,Temporal,ridge,1752.160753281733,0.6065411913185559
115,Skanderborg,80/20,lasso,1106.8655927334714,0.936516523680652
17,Skanderborg,80/20,ridge,1099.8254294116696,0.9373215223970705
213,Skanderborg,8020,elastic,1096.917220885281,0.9376525587212396
311,Skanderborg,Temporal,elastic,2458.964972058518,0.0574986697963905
409,Skanderborg,Temporal,lasso,2800.3784343476245,-0.2223926679788097
507,Skanderborg,Temporal,ridge,2348.3526852888463,0.1403851081932169
109,Skive,80/20,lasso,397.2119257822362,0.8903982353870337
11,Skive,80/20,ridge,408.7533659600863,0.8839364975705101
207,Skive,8020,elastic,396.92978998969306,0.8905538782401893
305,Skive,Temporal,elastic,746.4312453570873,0.4668362508221766
403,Skive,Temporal,lasso,746.4312453570873,0.4668362508221766
501,Skive,Temporal,ridge,1116.8812498271225,-0.1936994459997814
158,Slagelse,80/20,lasso,428.06030855251896,0.9631256545008354
60,Slagelse,80/20,ridge,436.264785389792,0.9616985939018764
256,Slagelse,8020,elastic,435.1241137076537,0.9618986201934014
354,Slagelse,Temporal,elastic,3572.0222611602094,-4.878982503386878
452,Slagelse,Temporal,lasso,3137.6576767466263,-3.536124578815394
550,Slagelse,Temporal,ridge,3129.0422784165435,-3.5112481452559443
165,Solrød,80/20,lasso,1763.1049019585178,0.9141069383762146
67,Solrød,80/20,ridge,1732.1746079499724,0.917094162010988
263,Solrød,8020,elastic,1755.60484081142,0.9148361440264527
361,Solrød,Temporal,elastic,2844.8733839776523,0.1079372326188907
459,Solrød,Temporal,lasso,2393.3221241579868,0.3686475937107922
557,Solrød,Temporal,ridge,2517.9766052787663,0.3011677955035851
156,Sorø,80/20,lasso,1237.795116314809,0.8173267608575574
58,Sorø,80/20,ridge,1092.535540866555,0.8576856978733658
254,Sorø,8020,elastic,1243.0262110296378,0.8157794931191583
352,Sorø,Temporal,elastic,6546.096622514166,-10.385340110862044
450,Sorø,Temporal,lasso,6844.806380148588,-11.448112981601438
548,Sorø,Temporal,ridge,4400.364817734595,-4.144682211233145
157,Stevns,80/20,lasso,1870.9272924029988,0.5195624347512037
59,Stevns,80/20,ridge,1854.9503753080687,0.5277328609188656
255,Stevns,8020,elastic,1880.602881129288,0.5145803744439527
353,Stevns,Temporal,elastic,2869.250334660833,-0.5720520821933415
451,Stevns,Temporal,lasso,3083.151024667572,-0.815179781790933
549,Stevns,Temporal,ridge,2743.6175477454963,-0.4373985153860371
123,Struer,80/20,lasso,594.4552984958174,0.7442363547557369
25,Struer,80/20,ridge,612.785277643869,0.7282202757241193
221,Struer,8020,elastic,594.4552984958174,0.7442363547557369
319,Struer,Temporal,elastic,1529.1999149369533,-0.3645704317869824
417,Struer,Temporal,lasso,1529.1999149369533,-0.3645704317869824
515,Struer,Temporal,ridge,1421.8748091075506,-0.1797504351788013
143,Svendborg,80/20,lasso,543.1272037421184,0.959594948675368
45,Svendborg,80/20,ridge,543.97586259936,0.9594685808767924
241,Svendborg,8020,elastic,545.9326557055916,0.9591764566960564
339,Svendborg,Temporal,elastic,1731.7429543235307,-0.2404075194878894
437,Svendborg,Temporal,lasso,2084.061254052907,-0.7964638835896276
535,Svendborg,Temporal,ridge,1720.0912463921984,-0.2237719738991872
122,Syddjurs,80/20,lasso,1060.815127358002,0.837330144119949
24,Syddjurs,80/20,ridge,1042.9927712742815,0.8427501389373436
220,Syddjurs,8020,elastic,1026.639824759427,0.8476424824774742
318,Syddjurs,Temporal,elastic,2041.4635208020711,-0.1025924238200164
416,Syddjurs,Temporal,lasso,1771.877113878934,0.1693865607426792
514,Syddjurs,Temporal,ridge,1890.890401613631,0.054058082156173
137,Sønderborg,80/20,lasso,572.390639123689,0.917773362150834
39,Sønderborg,80/20,ridge,560.7475573416261,0.921084508028382
235,Sønderborg,8020,elastic,572.390639123689,0.917773362150834
333,Sønderborg,Temporal,elastic,730.6923055057948,0.7775259923746272
431,Sønderborg,Temporal,lasso,749.7574012980352,0.76576503001287
529,Sønderborg,Temporal,ridge,1214.1468419178848,0.3857394288789192
108,Thisted,80/20,lasso,501.1440127244082,0.8121134272261752
10,Thisted,80/20,ridge,502.1276307270908,0.8113751564822111
206,Thisted,8020,elastic,500.90044566236463,0.8122960168948393
304,Thisted,Temporal,elastic,1187.7440392784824,-0.5708129028831852
402,Thisted,Temporal,lasso,1032.984204004851,-0.1881358544898472
500,Thisted,Temporal,ridge,1307.2956623852504,-0.9029456351267892
180,Tårnby,80/20,lasso,1477.7949187514366,0.963840413740338
82,Tårnby,80/20,ridge,1702.532231001433,0.9520061268316669
278,Tårnby,8020,elastic,1559.2628564632062,0.9597437068611306
376,Tårnby,Temporal,elastic,3796.577735037119,-0.1764190101941503
474,Tårnby,Temporal,lasso,3796.577735037119,-0.1764190101941503
572,Tårnby,Temporal,ridge,3196.2255621626177,0.1662184480055889
136,Tønder,80/20,lasso,593.9633748708432,0.6002692098019238
38,Tønder,80/20,ridge,474.2902272732836,0.7451194932575387
234,Tønder,8020,elastic,593.9633748708432,0.6002692098019238
332,Tønder,Temporal,elastic,1337.9348191909655,-0.271479769888342
430,Tønder,Temporal,lasso,1337.9348191909655,-0.271479769888342
528,Tønder,Temporal,ridge,1258.661080113748,-0.1252710576465194
179,Vallensbæk,80/20,lasso,1219.5668427967423,0.954808743945708
81,Vallensbæk,80/20,ridge,1229.113469286771,0.9540984710923998
277,Vallensbæk,8020,elastic,1219.820725937889,0.9547899266216174
375,Vallensbæk,Temporal,elastic,3112.2315635038003,-0.3468601495971239
473,Vallensbæk,Temporal,lasso,3110.9339906206146,-0.3457372994164907
571,Vallensbæk,Temporal,ridge,3110.426399054489,-0.3452981842323526
133,Varde,80/20,lasso,615.4982518760664,0.8439606450331228
35,Varde,80/20,ridge,724.9008556414875,0.7835599011923957
231,Varde,8020,elastic,615.4982518760664,0.8439606450331228
329,Varde,Temporal,elastic,1135.0750373879207,-0.2068330939404634
427,Varde,Temporal,lasso,1551.2453966785863,-1.25402680767926
525,Varde,Temporal,ridge,1329.7132813415535,-0.6562049509488204
132,Vejen,80/20,lasso,919.710812181382,0.4918672497676043
34,Vejen,80/20,ridge,931.6454713036842,0.4785940806958535
230,Vejen,8020,elastic,924.6324718346104,0.4864143446720653
328,Vejen,Temporal,elastic,1209.4790105926888,-0.2906768389698397
426,Vejen,Temporal,lasso,1110.3288814793366,-0.087737542497583
524,Vejen,Temporal,ridge,1109.7036213067734,-0.0865128108402051
127,Vejle,80/20,lasso,821.9096094555024,0.9229197526500604
29,Vejle,80/20,ridge,829.2474356645193,0.921537298339543
225,Vejle,8020,elastic,873.7250058808991,0.912894713380792
323,Vejle,Temporal,elastic,2083.429737433385,-0.0682208088032221
421,Vejle,Temporal,lasso,2083.429737433385,-0.0682208088032221
519,Vejle,Temporal,ridge,1860.539657619754,0.1481145918497456
104,Vesthimmerlands,80/20,lasso,825.9050215715914,0.5350665315638216
6,Vesthimmerlands,80/20,ridge,788.5282747124348,0.5761959152727023
202,Vesthimmerlands,8020,elastic,825.9050215715914,0.5350665315638216
300,Vesthimmerlands,Temporal,elastic,1150.5643063369846,-0.3008123791464101
398,Vesthimmerlands,Temporal,lasso,1150.5643063369846,-0.3008123791464101
496,Vesthimmerlands,Temporal,ridge,1293.2632097110777,-0.6434886668649604
107,Viborg,80/20,lasso,655.0229060841516,0.9010892394348164
9,Viborg,80/20,ridge,692.4152933915335,0.8894741484764426
205,Viborg,8020,elastic,655.8663057292612,0.900834362832132
303,Viborg,Temporal,elastic,1655.26960579078,-0.0116475379853675
401,Viborg,Temporal,lasso,1617.9017933774614,0.033512902531271
499,Viborg,Temporal,ridge,2030.385327607864,-0.5221192573376192
151,Vordingborg,80/20,lasso,680.0693394738382,0.8952226816206101
53,Vordingborg,80/20,ridge,732.8517909333517,0.8783272860060417
249,Vordingborg,8020,elastic,673.5197838859859,0.8972311249255435
347,Vordingborg,Temporal,elastic,1339.4749246486394,0.0267360586310354
445,Vordingborg,Temporal,lasso,1339.4749246486394,0.0267360586310354
543,Vordingborg,Temporal,ridge,794.6289295304382,0.6574766351373725
140,Ærø,80/20,lasso,1783.7025178895017,-0.5324483382757332
42,Ærø,80/20,ridge,1672.7546480355677,-0.3477380273019521
238,Ærø,8020,elastic,1708.5285025498924,-0.4060004136316917
336,Ærø,Temporal,elastic,1455.4224621117085,0.1409336356322067
434,Ærø,Temporal,lasso,1515.675557540126,0.068332249646318
532,Ærø,Temporal,ridge,1520.4967000548763,0.0623958251866312
